Id	Designator	Package	Quantity	Designation	Supplier and ref
1	BT101	stm32:KEYSTONE-3000	1	BATTERY	NA
2	C101,C103,C105,C106,C107,C109,C113,C114	stm32:CAPC2012X100N	8	0.1uF	10
3	C102,C104	stm32:CAPC2012X100N	2	48pF	446
4	C108,C110,C119,C120	stm32:CAPC2012X100N	4	18pF	388
5	C111,C112,C116,C117,C118	stm32:CAPC2012X100N	5	10uF	389
6	C115	stm32:CAPC2012X100N	1	6.8nF	492
7	C201	stm32:MURATA-TZC3	1	6.5-30pF	514
8	C202,C204,C205,C206,C207,C208,C209,C210	stm32:CAPC2012X100N	8	1000pF	520
9	C203	stm32:CAPC2012X100N	1	2200pF	521
10	D101,D102,D105,D106	stm32:DIOM5226X220N	4	DIODESCH	273
11	D104	stm32:LEDC3216X100N	1	PWR	176
12	D201,D202,D203	stm32:DIOM5226X220N	3	DIODE	518
13	J101	stm32:JST_UB-MC5BR3-SD204-4S-NMP	1	USB	274
14	L101,L102	stm32:IND_ASPI-8040S-680M-T	2	27uH	513
15	M101,M102,M103,M104	stm32:MTGNP565H328Z565P	4	Mouting Hole	NA
16	P101	stm32:SHDRV10W66P254_2X5_2035X870X609P	1	JTAG10	NA
17	P102	stm32:HDRV2W66P254_1X2_508X249X838P	1	BATTERY	NA
18	P103	stm32:HDRV3W66P254_1X3_762X249X838P	1	DEBUG	NA
19	P104	stm32:HDRV3W66P254_1X3_762X249X838P	1	READIND	NA
20	P105	stm32:HDRV2W66P254_1X2_508X249X838P	1	SPEAKER	NA
21	P201	stm32:HDRV2W66P254_1X2_508X249X838P	1	ANT	NA
22	Q201,Q202	stm32:SOT95P237X112_123-3N	2	2N2222	168
23	Q203	stm32:SOT95P237X112_123-3N	1	2N2907	515
24	R101,R102	stm32:RESC2012X100N	2	22R	49
25	R103,R105,R106,R114,R212,R213,R214,R216,R218	stm32:RESC2012X100N	9	10K	299
26	R104,R109	stm32:RESC2012X100N	2	1.5K	391
27	R107,R108,R110	stm32:RESC2012X100N	3	100R	300
28	R111	stm32:RESC2012X100N	1	100K	392
29	R112,R119	stm32:RESC2012X100N	2	6.8K	491
30	R113	stm32:RESC2012X100N	1	26.1K	522
31	R115	stm32:RESC2012X100N	1	?	
32	R116	stm32:RESC2012X100N	1	31.6K	523
33	R117	stm32:RESC2012X100N	1	5.11K	524
34	R118	stm32:RESC2012X100N	1	3.3K	525
35	R201	stm32:RESC2012X100N	1	1.2K	526
36	R202	stm32:RESC2012X100N	1	470R	527
37	R203,R204	stm32:RESC2012X100N	2	10R	528
38	R205	stm32:RESC2012X100N	1	390K	529
39	R206,R221	stm32:RESC2012X100N	2	1M	530
40	R207	stm32:RESC2012X100N	1	1.82K	531
41	R208	stm32:RESC2012X100N	1	47.5K	497
42	R209	stm32:RESC2012X100N	1	2.7K	532
43	R210	stm32:RESC2012X100N	1	10M	533
44	R211	stm32:RESC2012X100N	1	82.5K	534
45	R215	stm32:RESC2012X100N	1	15K	535
46	R217	stm32:COPAL-CT6EP	1	500R	407
47	R219	stm32:RESC2012X100N	1	6.2K	536
48	R220	stm32:RESC2012X100N	1	3.6K	537
49	S101	stm32:CKCOMP-PTS525SM10SMTR	1	RESET	275
50	S103	stm32:CKCOMP-OS102011MA1QN1	1	POWER	519
51	TP201	stm32:HDRV1W66P254_1X1_254X249X838P	1	RFTX	NA
52	TP202	stm32:HDRV1W66P254_1X1_254X249X838P	1	RF1	NA
53	TP203	stm32:HDRV1W66P254_1X1_254X249X838P	1	RF2	NA
54	TP204	stm32:HDRV1W66P254_1X1_254X249X838P	1	RF3	NA
55	TP205	stm32:HDRV1W66P254_1X1_254X249X838P	1	RF4	NA
56	TP206	stm32:HDRV1W66P254_1X1_254X249X838P	1	RFRX	NA
57	U101	stm32:SOT95P237X112_123-3N	1	MOSFET-P	293
58	U102	stm32:QFP50P900X900X160-48N	1	STM32-48PIN	375
59	U103	stm32:SOIC127P600X150-9N	1	AP6502	475
60	U104	stm32:SOT95P237X112_123-3N	1	MOSFET-N	37
61	U105	stm32:SOT95P280X100-5N	1	MIC2288	512
62	U201	stm32:SOIC127P600X175-14N	1	TL084	516
63	X101	stm32:XTAL8045X200N	1	8MHz	488
64	S102	stm32:APEM-MJTP1129B	1	WRITEEN	517
65	X102	stm32:SOJ550P370X240-4N	1	32.768kHz	280
